Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 10:45:09, 0.00, 42.00, 951589, 450908, 0, 0.36
2024-09-17 오후 10:45:10, 0.38, 42.00, 956008, 453002, 0, 0.27
2024-09-17 오후 10:45:11, 0.38, 42.00, 961900, 455794, 0, 0.39
2024-09-17 오후 10:45:12, 0.39, 42.00, 967615, 458502, 0, 0.28
2024-09-17 오후 10:45:13, 0.38, 42.00, 973507, 461294, 0, 0.34
2024-09-17 오후 10:45:14, 0.00, 42.00, 979399, 464086, 0, 0.29
2024-09-17 오후 10:45:15, 0.39, 42.00, 985291, 466878, 0, 0.31
2024-09-17 오후 10:45:16, 0.00, 42.00, 991183, 469670, 0, 0.18
2024-09-17 오후 10:45:17, 0.77, 42.00, 997016, 472434, 0, 0.49
2024-09-17 오후 10:45:18, 1.16, 42.00, 1002908, 475226, 0, 0.21
2024-09-17 오후 10:45:19, 0.38, 42.00, 1008800, 478018, 0, 0.58
2024-09-17 오후 10:45:20, 0.39, 42.00, 1014692, 480810, 0, 0.29
2024-09-17 오후 10:45:21, 0.77, 42.00, 1020584, 483602, 0, 0.34
2024-09-17 오후 10:45:22, 0.38, 42.00, 1026476, 486394, 0, 0.40
2024-09-17 오후 10:45:23, 0.00, 42.00, 1032368, 489186, 0, 0.31
2024-09-17 오후 10:45:24, 0.38, 42.00, 1038260, 491978, 0, 0.24
2024-09-17 오후 10:45:25, 0.38, 42.00, 1039969, 492788, 0, 0.72
2024-09-17 오후 10:45:26, 0.38, 42.00, 1045861, 495580, 0, 0.35
2024-09-17 오후 10:45:27, 0.38, 42.00, 1050280, 497674, 0, 0.27
2024-09-17 오후 10:45:28, 0.38, 42.00, 1056172, 500466, 0, 0.34
2024-09-17 오후 10:45:29, 0.38, 42.00, 1061887, 503174, 0, 0.28
2024-09-17 오후 10:45:30, 0.00, 42.00, 1067779, 505966, 0, 0.26
2024-09-17 오후 10:45:31, 0.38, 42.00, 1073671, 508758, 0, 0.64
2024-09-17 오후 10:45:32, 0.38, 42.00, 1079563, 511550, 0, 0.33
2024-09-17 오후 10:45:33, 0.38, 42.00, 1085455, 514342, 0, 0.22
2024-09-17 오후 10:45:34, 0.00, 42.00, 1091288, 517106, 0, 0.30
2024-09-17 오후 10:45:35, 1.14, 42.00, 1097180, 519898, 0, 0.42
2024-09-17 오후 10:45:36, 0.38, 42.00, 1103072, 522690, 0, 0.43
2024-09-17 오후 10:45:37, 0.00, 42.00, 1108964, 525482, 0, 0.29
2024-09-17 오후 10:45:38, 0.39, 42.00, 1114856, 528274, 0, 0.40
2024-09-17 오후 10:45:39, 1.15, 42.00, 1120748, 531066, 0, 0.33
2024-09-17 오후 10:45:40, 0.38, 42.00, 1126640, 533858, 0, 0.41
2024-09-17 오후 10:45:41, 0.38, 42.00, 1132532, 536650, 0, 0.42
2024-09-17 오후 10:45:42, 0.00, 42.00, 1138129, 539302, 0, 0.20
2024-09-17 오후 10:45:43, 0.00, 42.00, 1140133, 540252, 0, 0.56
2024-09-17 오후 10:45:44, 0.38, 42.00, 1144965, 542542, 0, 0.27
2024-09-17 오후 10:45:45, 0.00, 42.00, 1150444, 545138, 0, 0.27
2024-09-17 오후 10:45:46, 0.00, 42.00, 1156159, 547846, 0, 0.60
2024-09-17 오후 10:45:47, 0.38, 42.00, 1162051, 550638, 0, 0.24
2024-09-17 오후 10:45:48, 0.38, 42.00, 1167943, 553430, 0, 0.27
2024-09-17 오후 10:45:49, 0.00, 42.00, 1173835, 556222, 0, 0.59
2024-09-17 오후 10:45:50, 0.76, 42.00, 1179727, 559014, 0, 0.28
2024-09-17 오후 10:45:51, 0.38, 42.00, 1185619, 561806, 0, 0.51
2024-09-17 오후 10:45:52, 0.00, 42.00, 1191452, 564570, 0, 0.29
2024-09-17 오후 10:45:53, 0.38, 42.00, 1197344, 567362, 0, 0.29
2024-09-17 오후 10:45:54, 0.38, 42.00, 1203236, 570154, 0, 0.57
2024-09-17 오후 10:45:55, 0.00, 42.00, 1209128, 572946, 0, 0.28
