Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-18 오후 12:23:05, 0.00, 42.00, 1211309, 574272, 0, 0.24
2024-09-18 오후 12:23:06, 0.38, 42.00, 1217201, 577064, 0, 0.20
2024-09-18 오후 12:23:08, 0.38, 42.00, 1223093, 579856, 0, 0.11
2024-09-18 오후 12:23:09, 0.39, 42.00, 1228985, 582648, 0, 0.08
2024-09-18 오후 12:23:10, 0.39, 42.00, 1234936, 585468, 0, 0.09
2024-09-18 오후 12:23:11, 0.00, 42.00, 1240769, 588232, 0, 0.11
2024-09-18 오후 12:23:12, 0.38, 42.00, 1246720, 591052, 0, 0.15
2024-09-18 오후 12:23:13, 0.38, 42.00, 1252729, 593899, 0, 0.12
2024-09-18 오후 12:23:14, 0.38, 42.00, 1258621, 596691, 0, 0.16
2024-09-18 오후 12:23:15, 0.00, 42.00, 1264749, 599595, 0, 0.12
2024-09-18 오후 12:23:16, 0.38, 42.00, 1270641, 602387, 0, 0.05
2024-09-18 오후 12:23:17, 2.69, 42.00, 1276533, 605179, 0, 0.14
2024-09-18 오후 12:23:18, 0.00, 42.00, 1282425, 607971, 0, 0.02
2024-09-18 오후 12:23:19, 0.38, 42.00, 1288612, 610903, 0, 0.00
2024-09-18 오후 12:23:20, 0.38, 42.00, 1294504, 613695, 0, 0.00
2024-09-18 오후 12:23:21, 2.70, 42.00, 1300396, 616487, 0, 0.00
2024-09-18 오후 12:23:22, 2.68, 42.00, 1306288, 619279, 0, 0.01
2024-09-18 오후 12:23:23, 0.00, 42.00, 1312180, 622071, 0, 0.00
2024-09-18 오후 12:23:24, 0.38, 42.00, 1318189, 624918, 0, 0.00
2024-09-18 오후 12:23:25, 2.69, 42.00, 1324081, 627710, 0, 0.00
2024-09-18 오후 12:23:26, 0.38, 42.00, 1329973, 630502, 0, 0.00
2024-09-18 오후 12:23:27, 1.91, 42.00, 1335865, 633294, 0, 0.00
